id,nutrient_nbr,rank,name_with_unit
1271,620.0,14700.0,PUFA 20:4 (G)
1272,621.0,15300.0,PUFA 22:6 n-3 (DHA) (G)
1273,624.0,11200.0,SFA 22:0 (G)
1274,625.0,11500.0,MUFA 14:1 (G)
1275,626.0,11700.0,MUFA 16:1 (G)
1276,627.0,14250.0,PUFA 18:4 (G)
1277,628.0,12400.0,MUFA 20:1 (G)
1278,629.0,15000.0,PUFA 20:5 n-3 (EPA) (G)
1279,630.0,12500.0,MUFA 22:1 (G)
1280,631.0,15200.0,PUFA 22:5 n-3 (DPA) (G)
1281,821.0,15510.0,TFA 14:1 t (G)
1283,636.0,15800.0,Phytosterols (MG)
1284,637.0,16220.0,Ergosterol (MG)
1285,638.0,15900.0,Stigmasterol (MG)
1286,639.0,16000.0,Campesterol (MG)
1287,640.0,16100.0,Brassicasterol (MG)
1288,641.0,16200.0,Beta-sitosterol (MG)
1289,642.0,16221.0,Campestanol (MG)
1290,643.0,999999.0,Unsaponifiable matter (lipids) (G)
1291,644.0,999999.0,"Fatty acids, other than 607-615, 617-621, 624-632, 652-654, 686-689) (G)"
1292,645.0,11400.0,"Fatty acids, total monounsaturated (G)"
1293,646.0,12900.0,"Fatty acids, total polyunsaturated (G)"
1294,647.0,16222.0,Beta-sitostanol (MG)
1295,648.0,16223.0,Delta-7-avenasterol (MG)
1296,649.0,16224.0,Delta-5-avenasterol (MG)
1297,650.0,16225.0,Alpha-spinasterol (MG)
1298,651.0,16227.0,"Phytosterols, other (MG)"
1299,652.0,10600.0,SFA 15:0 (G)
1300,653.0,10800.0,SFA 17:0 (G)
1301,654.0,11300.0,SFA 24:0 (G)
1302,661.0,999999.0,Wax Esters(Total Wax) (G)
1303,662.0,15520.0,TFA 16:1 t (G)
1304,663.0,15521.0,TFA 18:1 t (G)
1305,664.0,15550.0,TFA 22:1 t (G)
1306,665.0,15610.0,TFA 18:2 t not further defined (G)
1307,666.0,13350.0,PUFA 18:2 i (G)
1308,667.0,13500.0,"PUFA 18:2 t,c (G)"
1309,668.0,13400.0,"PUFA 18:2 c,t (G)"
1310,669.0,15615.0,"TFA 18:2 t,t (G)"
1311,670.0,13300.0,PUFA 18:2 CLAs (G)
1312,671.0,12800.0,MUFA 24:1 c (G)
1313,672.0,14300.0,"PUFA 20:2 n-6 c,c (G)"
1314,673.0,11800.0,MUFA 16:1 c (G)
1315,674.0,12200.0,MUFA 18:1 c (G)
1316,675.0,13200.0,"PUFA 18:2 n-6 c,c (G)"
1317,676.0,12600.0,MUFA 22:1 c (G)
1318,677.0,999999.0,"Fatty acids, saturated, other (G)"
1319,678.0,999999.0,"Fatty acids, monounsat., other (G)"
1320,679.0,999999.0,"Fatty acids, polyunsat., other (G)"
1321,685.0,14100.0,"PUFA 18:3 n-6 c,c,c (G)"
1322,686.0,11000.0,SFA 19:0 (G)
1323,687.0,12000.0,MUFA 17:1 (G)
1324,688.0,13000.0,PUFA 16:2 (G)
1325,689.0,14400.0,PUFA 20:3 (G)
1326,690.0,999999.0,"Fatty acids, total sat., NLEA (G)"
1327,691.0,999999.0,"Fatty acids, total monounsat., NLEA (G)"
1328,692.0,999999.0,"Fatty acids, total polyunsat., NLEA (G)"
1329,693.0,15500.0,"Fatty acids, total trans-monoenoic (G)"
1330,694.0,15601.0,"Fatty acids, total trans-dienoic (G)"
1331,695.0,15619.0,"Fatty acids, total trans-polyenoic (G)"
1332,696.0,10400.0,SFA 13:0 (G)
1333,697.0,11600.0,MUFA 15:1 (G)
1334,698.0,15100.0,PUFA 22:2 (G)
1335,699.0,10200.0,SFA 11:0 (G)
1336,706.0,,"ORAC, Hydrophyllic (UMOL_TE)"
1337,707.0,,"ORAC, Lipophillic (UMOL_TE)"
1338,708.0,,"ORAC, Total (UMOL_TE)"
1339,709.0,,Total Phenolics (MG_GAE)
1340,710.0,19100.0,Daidzein (MG)
1341,711.0,19200.0,Genistein (MG)
1342,712.0,19300.0,Glycitein (MG)
1343,713.0,19000.0,Isoflavones (MG)
1344,714.0,999999.0,Biochanin A (MG)
1345,715.0,999999.0,Formononetin (MG)
1346,716.0,999999.0,Coumestrol (MG)
1347,729.0,999999.0,"Flavonoids, total (MG)"
1348,730.0,19400.0,Anthocyanidins (MG)
1349,731.0,19500.0,Cyanidin (MG)
1350,732.0,19510.0,Proanthocyanidin (dimer-A linkage) (MG)
1351,733.0,19520.0,Proanthocyanidin monomers (MG)
1352,734.0,19530.0,Proanthocyanidin dimers (MG)
1353,735.0,19540.0,Proanthocyanidin trimers (MG)
1354,736.0,19550.0,Proanthocyanidin 4-6mers (MG)
1355,737.0,19560.0,Proanthocyanidin 7-10mers (MG)
1356,738.0,19570.0,Proanthocyanidin polymers (>10mers) (MG)
1357,741.0,19600.0,Delphinidin (MG)
1358,742.0,19700.0,Malvidin (MG)
1359,743.0,19800.0,Pelargonidin (MG)
1360,745.0,19900.0,Peonidin (MG)
1361,746.0,20000.0,Petunidin (MG)
1362,747.0,20100.0,"Flavans, total (MG)"
1363,748.0,20200.0,"Catechins, total (MG)"
1364,749.0,20300.0,Catechin (MG)
1365,750.0,20400.0,Epigallocatechin (MG)
1366,751.0,20500.0,Epicatechin (MG)
1367,752.0,20600.0,Epicatechin-3-gallate (MG)
1368,753.0,20700.0,Epigallocatechin-3-gallate (MG)
1369,754.0,20800.0,"Procyanidins, total (MG)"
1370,755.0,20900.0,Theaflavins (MG)
1371,756.0,21000.0,Thearubigins (MG)
1372,757.0,21200.0,"Flavanones, total (MG)"
1373,758.0,21300.0,Eriodictyol (MG)
1374,759.0,21400.0,Hesperetin (MG)
1375,760.0,21500.0,Isosakuranetin (MG)
1376,761.0,21600.0,Liquiritigenin (MG)
1377,762.0,21700.0,Naringenin (MG)
1378,768.0,21800.0,"Flavones, total (MG)"
1379,770.0,21900.0,Apigenin (MG)
1380,771.0,22000.0,Chrysoeriol (MG)
1381,772.0,22100.0,Diosmetin (MG)
1382,773.0,22200.0,Luteolin (MG)
1383,781.0,22300.0,Nobiletin (MG)
1384,782.0,22400.0,Sinensetin (MG)
1385,783.0,22500.0,Tangeretin (MG)
1386,784.0,22600.0,"Flavonols, total (MG)"
1387,785.0,22700.0,Isorhamnetin (MG)
1388,786.0,22800.0,Kaempferol (MG)
1389,787.0,22900.0,Limocitrin (MG)
1390,788.0,23000.0,Myricetin (MG)
1391,789.0,23100.0,Quercetin (MG)
1392,790.0,21100.0,Theogallin (MG)
1393,791.0,,"Theaflavin -3,3' -digallate (MG)"
1394,792.0,,Theaflavin -3' -gallate (MG)
1395,793.0,,Theaflavin -3 -gallate (MG)
1396,794.0,,(+) -Gallo catechin (MG)
1397,795.0,,(+)-Catechin 3-gallate (MG)
1398,796.0,,(+)-Gallocatechin 3-gallate (MG)
1399,801.0,999999.0,Mannose (G)
1400,803.0,999999.0,Triose (G)
1401,804.0,999999.0,Tetrose (G)
1402,805.0,999999.0,Other Saccharides (G)
1403,806.0,999999.0,Inulin (G)
1404,851.0,14000.0,"PUFA 18:3 n-3 c,c,c (ALA) (G)"
1405,852.0,14500.0,PUFA 20:3 n-3 (G)
1406,853.0,14600.0,PUFA 20:4 n-6 (G)
1407,854.0,14800.0,PUFA 20:4 n-3 (G)
1408,855.0,14900.0,PUFA 2:4 n-6 (G)
1409,856.0,14200.0,PUFA 18:3i (G)
1410,857.0,15100.0,PUFA 21:5 (G)
1411,858.0,15160.0,PUFA 22:4 (G)
1412,859.0,12310.0,MUFA 18:1-11 t (18:1t n-7) (G)
1413,860.0,12210.0,MUFA 18:1-11 c (18:1c n-7) (G)
1414,861.0,14650.0,PUFA 20:3 n-9 (G)
2000,269.0,1510.0,"Sugars, Total (G)"
2003,632.0,9850.0,SFA 5:0 (G)
2004,633.0,9950.0,SFA 7:0 (G)
2005,634.0,10050.0,SFA 9:0 (G)
2006,681.0,11150.0,SFA 21:0 (G)
2007,682.0,11250.0,SFA 23:0 (G)
2008,635.0,11450.0,MUFA 12:1 (G)
2009,822.0,11501.0,MUFA 14:1 c (G)
2010,825.0,12001.0,MUFA 17:1 c (G)
